"Site Time","Weather station module temperature ","Weather station ambient temperature Degrees Fahrenheit","Weather station device temperature "
"2020-09-01 00:00:00","56.646","66.214","77"
"2020-09-01 00:15:00","57.012","65.92","84.2"
"2020-09-01 00:30:00","56.92","65.46","84.2"
"2020-09-01 00:45:00","56.765","65.457","84.2"
"2020-09-01 01:00:00","56.122","64.887","82.4"
"2020-09-01 01:15:00","55.362","64.468","82.4"
"2020-09-01 01:30:00","54.635","63.901","82.4"
"2020-09-01 01:45:00","54.92","63.833","82.4"
"2020-09-01 02:00:00","54.899","63.839","81.5"
"2020-09-01 02:15:00","54.22","63.624","81.5"
"2020-09-01 02:30:00","53.769","63.363","80.6"
"2020-09-01 02:45:00","53.602","62.937","80.6"
"2020-09-01 03:00:00","53.978","62.607","79.7"
"2020-09-01 03:15:00","53.707","62.447","80.6"
"2020-09-01 03:30:00","53.083","62.229","79.7"
"2020-09-01 03:45:00","53.045","62.173","78.8"
"2020-09-01 04:00:00","52.794","61.767","80.6"
"2020-09-01 04:15:00","53.173","61.609","80.6"
"2020-09-01 04:30:00","54.172","62.113","79.7"
"2020-09-01 04:45:00","54.029","62.364","78.8"
"2020-09-01 05:00:00","53.3","61.706","79.7"
"2020-09-01 05:15:00","52.552","61.09","78.8"
"2020-09-01 05:30:00","52.782","61.061","78.8"
"2020-09-01 05:45:00","52.646","60.926","78.8"
"2020-09-01 06:00:00","52.245","60.619","77.9"
"2020-09-01 06:15:00","52.191","60.353","78.8"
"2020-09-01 06:30:00","52.666","60.47","77.9"
"2020-09-01 06:45:00","54.012","60.816","77.9"
"2020-09-01 07:00:00","55.557","61.296","79.7"
"2020-09-01 07:15:00","57.747","62.211","78.8"
"2020-09-01 07:30:00","60.522","63.265","79.7"
"2020-09-01 07:45:00","62.295","63.992","80.6"
"2020-09-01 08:00:00","64.977","64.923","82.4"
"2020-09-01 08:15:00","67.33","65.821","82.4"
"2020-09-01 08:30:00","74.721","67.323","85.1"
"2020-09-01 08:45:00","75.116","68.427","86"
"2020-09-01 09:00:00","76.136","69.434","87.8"
"2020-09-01 09:15:00","85.602","70.841","89.6"
"2020-09-01 09:30:00","92.98","71.957","91.4"
"2020-09-01 09:45:00","94.538","72.965","91.4"
"2020-09-01 10:00:00","91.718","73.065","92.3"
"2020-09-01 10:15:00","99.102","73.502","92.3"
"2020-09-01 10:30:00","104.332","75.225","95"
"2020-09-01 10:45:00","97.154","76.202","95.9"
"2020-09-01 11:00:00","94.966","76.509","96.8"
"2020-09-01 11:15:00","97.91","77.288","95"
"2020-09-01 11:30:00","98.041","77.501","98.6"
"2020-09-01 11:45:00","101.033","78.518","98.6"
"2020-09-01 12:00:00","98.288","78.567","99.5"
"2020-09-01 12:15:00","103.092","79.699","100.4"
"2020-09-01 12:30:00","107.291","80.358","101.3"
"2020-09-01 12:45:00","104.166","81.024","102.2"
"2020-09-01 13:00:00","106.236","82.008","104"
"2020-09-01 13:15:00","113.5","83.035","104.9"
"2020-09-01 13:30:00","102.325","83.224","105.8"
"2020-09-01 13:45:00","109.336","84.267","105.8"
"2020-09-01 14:00:00","101.193","84.504","108.5"
"2020-09-01 14:15:00","113.725","86.534","108.5"
"2020-09-01 14:30:00","117.983","88.278","112.1"
"2020-09-01 14:45:00","114.064","88.54","114.8"
"2020-09-01 15:00:00","116.306","91.471","113.9"
"2020-09-01 15:15:00","115.224","93.992","115.7"
"2020-09-01 15:30:00","109.399","93.298","118.4"
"2020-09-01 15:45:00","91.67","88.772","114.8"
"2020-09-01 16:00:00","93.03","89.816","112.1"
"2020-09-01 16:15:00","100.592","93.813","113"
"2020-09-01 16:30:00","98.433","94.497","114.8"
"2020-09-01 16:45:00","95.379","94.253","114.8"
"2020-09-01 17:00:00","95.255","95.054","115.7"
"2020-09-01 17:15:00","91.992","95.531","116.6"
"2020-09-01 17:30:00","89.574","96.936","120.2"
"2020-09-01 17:45:00","86.677","97","118.4"
"2020-09-01 18:00:00","83.648","95.991","115.7"
"2020-09-01 18:15:00","78.742","89.71","114.8"
"2020-09-01 18:30:00","72.487","83.812","106.7"
"2020-09-01 18:45:00","70.234","81.026","100.4"
"2020-09-01 19:00:00","68.858","79.69","97.7"
"2020-09-01 19:15:00","67.151","78.619","97.7"
"2020-09-01 19:30:00","65.681","77.702","95"
"2020-09-01 19:45:00","65.246","76.803","94.1"
"2020-09-01 20:00:00","64.344","76.1","93.2"
"2020-09-01 20:15:00","63.895","75.538","93.2"
"2020-09-01 20:30:00","63.604","74.981","92.3"
"2020-09-01 20:45:00","63.411","74.28","90.5"
"2020-09-01 21:00:00","63.799","73.846","91.4"
"2020-09-01 21:15:00","62.709","73.328","91.4"
"2020-09-01 21:30:00","61.578","72.81","88.7"
"2020-09-01 21:45:00","61.011","72.383","88.7"
"2020-09-01 22:00:00","60.973","72.229","88.7"
"2020-09-01 22:15:00","60.833","71.485","88.7"
"2020-09-01 22:30:00","60.231","70.633","87.8"
"2020-09-01 22:45:00","59.808","70.49","87.8"
"2020-09-01 23:00:00","60.028","70.629","87.8"
"2020-09-01 23:15:00","60.698","70.522","87.8"
"2020-09-01 23:30:00","60.686","70.131","87.8"
"2020-09-01 23:45:00","59.863","69.748","87.8"
"2020-09-02 00:00:00","59.726","69.666","86.9"
"2020-09-02 00:15:00","59.487","69.323","86.9"
"2020-09-02 00:30:00","59.287","68.959","86.9"
"2020-09-02 00:45:00","58.812","68.563","86"
"2020-09-02 01:00:00","58.867","68.384","87.8"
"2020-09-02 01:15:00","59.661","68.283","86"
"2020-09-02 01:30:00","60.953","68.82","86"
"2020-09-02 01:45:00","61.905","69.2","86.9"
"2020-09-02 02:00:00","63.221","69.573","87.8"
"2020-09-02 02:15:00","64.002","69.852","87.8"
"2020-09-02 02:30:00","64.168","69.939","87.8"
"2020-09-02 02:45:00","64.166","69.885","87.8"
"2020-09-02 03:00:00","63.854","69.696","87.8"
"2020-09-02 03:15:00","63.867","69.523","87.8"
"2020-09-02 03:30:00","64.016","69.425","87.8"
"2020-09-02 03:45:00","64.179","69.468","87.8"
"2020-09-02 04:00:00","64.126","69.372","87.8"
"2020-09-02 04:15:00","64.077","69.219","87.8"
"2020-09-02 04:30:00","64.128","69.313","87.8"
"2020-09-02 04:45:00","64.13","69.086","87.8"
"2020-09-02 05:00:00","64.127","68.888","87.8"
"2020-09-02 05:15:00","64.061","68.791","87.8"
"2020-09-02 05:30:00","64.025","68.672","87.8"
"2020-09-02 05:45:00","64.048","68.695","87.8"
"2020-09-02 06:00:00","64.031","68.733","87.8"
"2020-09-02 06:15:00","64.015","68.692","87.8"
"2020-09-02 06:30:00","63.503","68.536","86.9"
"2020-09-02 06:45:00","63.202","68.152","86"
"2020-09-02 07:00:00","63.375","67.767","86"
"2020-09-02 07:15:00","63.598","67.888","86"
"2020-09-02 07:30:00","63.723","67.761","86.9"
"2020-09-02 07:45:00","63.747","67.591","86.9"
"2020-09-02 08:00:00","63.811","67.272","86"
"2020-09-02 08:15:00","64.2","67.205","86"
"2020-09-02 08:30:00","64.685","67.113","86"
"2020-09-02 08:45:00","64.764","67.147","85.1"
"2020-09-02 09:00:00","65.299","67.104","84.2"
"2020-09-02 09:15:00","65.516","67.195","85.1"
"2020-09-02 09:30:00","65.405","67.103","85.1"
"2020-09-02 09:45:00","65.593","67.059","86"
"2020-09-02 10:00:00","66.007","67.223","85.1"
"2020-09-02 10:15:00","66.74","67.425","86"
"2020-09-02 10:30:00","68.368","67.905","86"
"2020-09-02 10:45:00","68.95","68.378","87.8"
"2020-09-02 11:00:00","68.733","68.527","87.8"
"2020-09-02 11:15:00","69.594","68.616","86.9"
"2020-09-02 11:30:00","69.905","68.575","87.8"
"2020-09-02 11:45:00","69.557","68.605","87.8"
"2020-09-02 12:00:00","69.094","68.777","87.8"
"2020-09-02 12:15:00","70.023","69.034","87.8"
"2020-09-02 12:30:00","69.302","68.954","87.8"
"2020-09-02 12:45:00","69.326","69.06","88.7"
"2020-09-02 13:00:00","70.871","69.413","86.9"
"2020-09-02 13:15:00","71.166","69.586","88.7"
"2020-09-02 13:30:00","71.663","69.684","89.6"
"2020-09-02 13:45:00","71.49","69.812","88.7"
"2020-09-02 14:00:00","71.259","69.764","89.6"
"2020-09-02 14:15:00","72.929","70.293","89.6"
"2020-09-02 14:30:00","73.893","70.929","87.8"
"2020-09-02 14:45:00","73.269","70.875","91.4"
"2020-09-02 15:00:00","72.43","70.759","90.5"
"2020-09-02 15:15:00","74.198","71.084","89.6"
"2020-09-02 15:30:00","73.91","71.338","91.4"
"2020-09-02 15:45:00","75.797","71.567","91.4"
"2020-09-02 16:00:00","76.856","71.828","91.4"
"2020-09-02 16:15:00","75.058","71.781","90.5"
"2020-09-02 16:30:00","73.859","71.791","91.4"
"2020-09-02 16:45:00","74.571","72.095","91.4"
"2020-09-02 17:00:00","75.632","72.082","92.3"
"2020-09-02 17:15:00","75.754","72.045","91.4"
"2020-09-02 17:30:00","74.566","72.005","91.4"
"2020-09-02 17:45:00","73.998","71.989","91.4"
"2020-09-02 18:00:00","73.466","71.972","91.4"
"2020-09-02 18:15:00","73.41","71.958","92.3"
"2020-09-02 18:30:00","73.077","71.994","91.4"
"2020-09-02 18:45:00","72.5","71.916","91.4"
"2020-09-02 19:00:00","71.791","71.735","91.4"
"2020-09-02 19:15:00","71.24","71.694","92.3"
"2020-09-02 19:30:00","70.86","71.673","91.4"
"2020-09-02 19:45:00","70.797","71.629","91.4"
"2020-09-02 20:00:00","70.809","71.672","91.4"
"2020-09-02 20:15:00","70.762","71.627","91.4"
"2020-09-02 20:30:00","70.86","71.741","91.4"
"2020-09-02 20:45:00","70.868","71.763","91.4"
"2020-09-02 21:00:00","70.815","71.747","91.4"
"2020-09-02 21:15:00","70.989","71.889","91.4"
"2020-09-02 21:30:00","71.041","71.936","91.4"
"2020-09-02 21:45:00","71.128","72.11","90.5"
"2020-09-02 22:00:00","71.115","72.158","91.4"
"2020-09-02 22:15:00","71.324","72.238","91.4"
"2020-09-02 22:30:00","71.409","72.283","91.4"
"2020-09-02 22:45:00","71.438","72.332","91.4"
"2020-09-02 23:00:00","71.48","72.362","91.4"
"2020-09-02 23:15:00","71.545","72.505","91.4"
"2020-09-02 23:30:00","71.711","72.548","91.4"
"2020-09-02 23:45:00","71.847","72.617","91.4"
"2020-09-03 00:00:00","71.978","72.728","93.2"
"2020-09-03 00:15:00","71.991","72.83","91.4"
"2020-09-03 00:30:00","72.066","72.87","92.3"
"2020-09-03 00:45:00","72.049","72.929","92.3"
"2020-09-03 01:00:00","72.056","72.936","91.4"
"2020-09-03 01:15:00","72.124","72.959","92.3"
"2020-09-03 01:30:00","72.281","73.041","92.3"
"2020-09-03 01:45:00","72.403","73.206","93.2"
"2020-09-03 02:00:00","72.499","73.271","92.3"
"2020-09-03 02:15:00","72.524","73.309","92.3"
"2020-09-03 02:30:00","72.58","73.379","93.2"
"2020-09-03 02:45:00","72.449","73.327","92.3"
"2020-09-03 03:00:00","72.245","73.263","92.3"
"2020-09-03 03:15:00","72.478","73.312","93.2"
"2020-09-03 03:30:00","72.646","73.305","92.3"
"2020-09-03 03:45:00","72.593","73.333","92.3"
"2020-09-03 04:00:00","72.239","73.173","92.3"
"2020-09-03 04:15:00","70.869","72.828","91.4"
"2020-09-03 04:30:00","70.445","72.486","93.2"
"2020-09-03 04:45:00","69.753","72.235","91.4"
"2020-09-03 05:00:00","68.747","71.991","92.3"
"2020-09-03 05:15:00","67.702","71.447","91.4"
"2020-09-03 05:30:00","68.104","71.303","89.6"
"2020-09-03 05:45:00","68.576","71.304","90.5"
"2020-09-03 06:00:00","68.234","71.168","90.5"
"2020-09-03 06:15:00","68.732","71.148","91.4"
"2020-09-03 06:30:00","69.089","71.26","90.5"
"2020-09-03 06:45:00","68.652","71.272","90.5"
"2020-09-03 07:00:00","70.049","71.522","89.6"
"2020-09-03 07:15:00","71.165","71.742","89.6"
"2020-09-03 07:30:00","71.605","72.012","90.5"
"2020-09-03 07:45:00","71.566","71.895","91.4"
"2020-09-03 08:00:00","71.26","71.865","90.5"
"2020-09-03 08:15:00","71.113","71.691","92.3"
"2020-09-03 08:30:00","72.366","71.764","91.4"
"2020-09-03 08:45:00","74.39","72.168","91.4"
"2020-09-03 09:00:00","76.911","72.68","92.3"
"2020-09-03 09:15:00","79.173","73.122","92.3"
"2020-09-03 09:30:00","80.892","73.549","93.2"
"2020-09-03 09:45:00","84.861","74.168","93.2"
"2020-09-03 10:00:00","89.485","74.611","95"
"2020-09-03 10:15:00","98.11","75.038","94.1"
"2020-09-03 10:30:00","100.167","75.516","94.1"
"2020-09-03 10:45:00","98.657","76.515","81.5"
"2020-09-03 11:00:00","101.609","77.298","96.8"
"2020-09-03 11:15:00","106.846","78.23","96.8"
"2020-09-03 11:30:00","107.821","79.155","97.7"
"2020-09-03 11:45:00","110.193","79.768","97.7"
"2020-09-03 12:00:00","114.224","80.589","99.5"
"2020-09-03 12:15:00","111.529","81.262","100.4"
"2020-09-03 12:30:00","115.507","82.711","99.5"
"2020-09-03 12:45:00","113.842","83.194","102.2"
"2020-09-03 13:00:00","110.936","83.827","105.8"
"2020-09-03 13:15:00","98.562","84.04","105.8"
"2020-09-03 13:30:00","104.012","85.664","105.8"
"2020-09-03 13:45:00","112.66","86.499","109.4"
"2020-09-03 14:00:00","116.798","86.983","110.3"
"2020-09-03 14:15:00","107.453","86.612","112.1"
"2020-09-03 14:30:00","112.162","88.445","111.2"
"2020-09-03 14:45:00","110.366","89.595","113"
"2020-09-03 15:00:00","115.156","93.2","113.9"
"2020-09-03 15:15:00","113.057","93.222","116.6"
"2020-09-03 15:30:00","98.439","90.036","113.9"
"2020-09-03 15:45:00","102.335","94.759","113.9"
"2020-09-03 16:00:00","104.012","98.098","117.5"
"2020-09-03 16:15:00","102.132","99.172","117.5"
"2020-09-03 16:30:00","90.202","94.117","117.5"
"2020-09-03 16:45:00","87.935","91.246","114.8"
"2020-09-03 17:00:00","87.023","89.232","111.2"
"2020-09-03 17:15:00","84.953","87.672","109.4"
"2020-09-03 17:30:00","80.911","85.709","105.8"
"2020-09-03 17:45:00","79.249","83.99","104.9"
"2020-09-03 18:00:00","76.565","82.432","103.1"
"2020-09-03 18:15:00","75.401","81.933","100.4"
"2020-09-03 18:30:00","75.733","82.854","100.4"
"2020-09-03 18:45:00","72.312","81.175","99.5"
"2020-09-03 19:00:00","68.429","78.934","97.7"
"2020-09-03 19:15:00","66.547","77.555","95.9"
"2020-09-03 19:30:00","65.491","76.222","95.9"
"2020-09-03 19:45:00","64.865","75.158","95"
"2020-09-03 20:00:00","65.103","74.718","93.2"
"2020-09-03 20:15:00","66.143","74.473","91.4"
"2020-09-03 20:30:00","66.686","74.744","93.2"
"2020-09-03 20:45:00","67.666","75.579","93.2"
"2020-09-03 21:00:00","67.563","75.008","93.2"
"2020-09-03 21:15:00","67.055","74.706","93.2"
"2020-09-03 21:30:00","66.16","74.158","92.3"
"2020-09-03 21:45:00","65.765","74.039","93.2"
"2020-09-03 22:00:00","66.165","74.076","91.4"
"2020-09-03 22:15:00","67.268","74.223","91.4"
"2020-09-03 22:30:00","67.961","74.275","92.3"
"2020-09-03 22:45:00","67.878","74.619","93.2"
"2020-09-03 23:00:00","68.15","74.803","91.4"
"2020-09-03 23:15:00","68.462","74.469","93.2"
"2020-09-03 23:30:00","68.446","74.68","93.2"
"2020-09-03 23:45:00","66.914","74.355","93.2"
"2020-09-04 00:00:00","67.508","74.034","91.4"
"2020-09-04 00:15:00","68.404","73.873","91.4"
"2020-09-04 00:30:00","67.645","73.584","91.4"
"2020-09-04 00:45:00","68.272","74.373","91.4"
"2020-09-04 01:00:00","69.524","74.82","91.4"
"2020-09-04 01:15:00","69.937","74.702","93.2"
"2020-09-04 01:30:00","69.868","74.336","91.4"
"2020-09-04 01:45:00","69.94","74.353","93.2"
"2020-09-04 02:00:00","70.391","74.608","92.3"
"2020-09-04 02:15:00","70.38","74.786","93.2"
"2020-09-04 02:30:00","69.825","74.619","93.2"
"2020-09-04 02:45:00","69.499","74.377","93.2"
"2020-09-04 03:00:00","68.855","74.122","92.3"
"2020-09-04 03:15:00","66.215","73.314","92.3"
"2020-09-04 03:30:00","65.031","72.535","89.6"
"2020-09-04 03:45:00","64.303","71.957","89.6"
"2020-09-04 04:00:00","63.267","71.004","89.6"
"2020-09-04 04:15:00","62.144","70.045","88.7"
"2020-09-04 04:30:00","61.546","69.674","88.7"
"2020-09-04 04:45:00","60.821","69.121","87.8"
"2020-09-04 05:00:00","60.483","68.749","86.9"
"2020-09-04 05:15:00","60.706","68.797","86.9"
"2020-09-04 05:30:00","59.886","67.864","85.1"
"2020-09-04 05:45:00","59.601","67.879","85.1"
"2020-09-04 06:00:00","59.305","67.531","86"
"2020-09-04 06:15:00","59.361","67.338","85.1"
"2020-09-04 06:30:00","60.029","67.341","85.1"
"2020-09-04 06:45:00","60.484","67.47","85.1"
"2020-09-04 07:00:00","61.416","67.968","85.1"
"2020-09-04 07:15:00","63.627","68.839","86"
"2020-09-04 07:30:00","67.181","69.895","85.1"
"2020-09-04 07:45:00","70.56","71.124","86.9"
"2020-09-04 08:00:00","72.924","72.479","88.7"
"2020-09-04 08:15:00","75.611","73.673","89.6"
"2020-09-04 08:30:00","79.816","74.407","91.4"
"2020-09-04 08:45:00","86.861","74.96","93.2"
"2020-09-04 09:00:00","91.14","75.628","93.2"
