"Site Time","Weather station module temperature ","Weather station ambient temperature Degrees Fahrenheit","Weather station device temperature "
"2020-11-01 00:00:00","28.041","33.031","50"
"2020-11-01 00:15:00","28.694","33.307","51.8"
"2020-11-01 00:30:00","29.567","33.387","52.7"
"2020-11-01 00:45:00","30.449","33.539","52.7"
"2020-11-01 01:00:00","30.634","33.879","56.3"
"2020-11-01 01:15:00","30.551","33.99","54.5"
"2020-11-01 01:30:00","29.645","33.927","54.5"
"2020-11-01 01:45:00","29.322","33.934","53.6"
"2020-11-01 01:00:00","","",""
"2020-11-01 01:15:00","","",""
"2020-11-01 01:30:00","","",""
"2020-11-01 01:45:00","","",""
"2020-11-01 02:00:00","30.96","34.124","54.05"
"2020-11-01 02:15:00","30.984","34.243","54.05"
"2020-11-01 02:30:00","31.378","34.32","54.5"
"2020-11-01 02:45:00","31.827","34.478","54.05"
"2020-11-01 03:00:00","32.507","34.961","55.4"
"2020-11-01 03:15:00","32.712","34.791","55.4"
"2020-11-01 03:30:00","32.486","34.826","54.5"
"2020-11-01 03:45:00","32.613","34.88","55.4"
"2020-11-01 04:00:00","33.065","34.971","56.3"
"2020-11-01 04:15:00","31.969","34.756","56.3"
"2020-11-01 04:30:00","31.963","34.582","55.4"
"2020-11-01 04:45:00","32.612","34.745","55.4"
"2020-11-01 05:00:00","32.71","34.768","55.4"
"2020-11-01 05:15:00","32.624","34.839","56.3"
"2020-11-01 05:30:00","32.98","35.059","55.4"
"2020-11-01 05:45:00","32.945","35.07","55.4"
"2020-11-01 06:00:00","32.523","34.929","55.4"
"2020-11-01 06:15:00","31.61","34.768","55.4"
"2020-11-01 06:30:00","32.023","34.646","54.5"
"2020-11-01 06:45:00","33.04","34.876","55.4"
"2020-11-01 07:00:00","32.971","35.051","55.4"
"2020-11-01 07:15:00","34.267","35.288","55.4"
"2020-11-01 07:30:00","37.068","35.915","55.4"
"2020-11-01 07:45:00","38.532","36.519","56.3"
"2020-11-01 08:00:00","40.45","37.031","58.1"
"2020-11-01 08:15:00","48.417","38.205","58.1"
"2020-11-01 08:30:00","54.35","39.666","59.9"
"2020-11-01 08:45:00","53.787","40.594","60.8"
"2020-11-01 09:00:00","54.586","41.694","61.7"
"2020-11-01 09:15:00","57.704","42.943","62.6"
"2020-11-01 09:30:00","66.373","45.175","64.4"
"2020-11-01 09:45:00","65.581","46.89","66.2"
"2020-11-01 10:00:00","67.669","48.601","68"
"2020-11-01 10:15:00","68.554","49.261","68.9"
"2020-11-01 10:30:00","67.152","49.638","70.7"
"2020-11-01 10:45:00","74.273","50.608","71.6"
"2020-11-01 11:00:00","73.928","51.841","73.4"
"2020-11-01 11:15:00","71.178","52.645","74.3"
"2020-11-01 11:30:00","68.55","53.087","75.2"
"2020-11-01 11:45:00","65.243","53.319","75.2"
"2020-11-01 12:00:00","62.299","53.183","74.3"
"2020-11-01 12:15:00","60.977","52.884","76.1"
"2020-11-01 12:30:00","57.936","52.553","75.2"
"2020-11-01 12:45:00","54.916","52.289","74.3"
"2020-11-01 13:00:00","53.641","51.999","73.4"
"2020-11-01 13:15:00","51.409","51.321","73.4"
"2020-11-01 13:30:00","48.84","50.086","72.5"
"2020-11-01 13:45:00","48.721","49.419","69.8"
"2020-11-01 14:00:00","48.9","49.08","69.8"
"2020-11-01 14:15:00","49.301","49.059","69.8"
"2020-11-01 14:30:00","49.687","49.141","68.9"
"2020-11-01 14:45:00","49.545","49.21","69.8"
"2020-11-01 15:00:00","49.281","49.194","69.8"
"2020-11-01 15:15:00","49.149","49.186","69.8"
"2020-11-01 15:30:00","48.764","49.132","69.8"
"2020-11-01 15:45:00","48.471","49.002","69.8"
"2020-11-01 16:00:00","48.363","48.952","69.8"
"2020-11-01 16:15:00","48.415","48.996","68.9"
"2020-11-01 16:30:00","48.519","49.04","68.9"
"2020-11-01 16:45:00","48.566","49.128","68.9"
"2020-11-01 17:00:00","48.876","49.26","68.9"
"2020-11-01 17:15:00","48.929","49.339","69.8"
"2020-11-01 17:30:00","49.106","49.474","69.8"
"2020-11-01 17:45:00","49.44","49.608","69.8"
"2020-11-01 18:00:00","49.533","49.731","70.7"
"2020-11-01 18:15:00","49.178","49.604","69.8"
"2020-11-01 18:30:00","49.702","49.867","69.8"
"2020-11-01 18:45:00","49.987","49.945","70.7"
"2020-11-01 19:00:00","49.809","50.026","70.7"
"2020-11-01 19:15:00","49.811","50.157","70.7"
"2020-11-01 19:30:00","49.871","50.144","66.2"
"2020-11-01 19:45:00","50.276","50.344","72.5"
"2020-11-01 20:00:00","50.284","50.763","67.1"
"2020-11-01 20:15:00","49.203","50.194","73.4"
"2020-11-01 20:30:00","44.211","46.411","70.7"
"2020-11-01 20:45:00","42.339","44.714","68.9"
"2020-11-01 21:00:00","42.089","44.122","65.3"
"2020-11-01 21:15:00","42.306","43.803","64.4"
"2020-11-01 21:30:00","42.731","43.603","64.4"
"2020-11-01 21:45:00","42.706","43.402","64.4"
"2020-11-01 22:00:00","42.487","43.292","64.4"
"2020-11-01 22:15:00","42.144","43.354","64.4"
"2020-11-01 22:30:00","41.727","43.291","64.4"
"2020-11-01 22:45:00","41.269","43.266","64.4"
"2020-11-01 23:00:00","41.124","43.139","63.5"
"2020-11-01 23:15:00","39.313","42.678","63.5"
"2020-11-01 23:30:00","37.133","42.043","62.6"
"2020-11-01 23:45:00","36.382","41.632","62.6"
"2020-11-02 00:00:00","37.29","41.576","61.7"
"2020-11-02 00:15:00","37.804","41.578","60.8"
"2020-11-02 00:30:00","38.008","41.461","60.8"
"2020-11-02 00:45:00","38.027","41.096","60.8"
"2020-11-02 01:00:00","36.953","40.525","60.8"
"2020-11-02 01:15:00","36.014","39.999","60.8"
"2020-11-02 01:30:00","35.57","39.609","59.9"
"2020-11-02 01:45:00","35.342","39.262","59.9"
"2020-11-02 02:00:00","34.745","38.887","59"
"2020-11-02 02:15:00","34.638","38.504","58.1"
"2020-11-02 02:30:00","33.853","38.112","59"
"2020-11-02 02:45:00","32.425","37.626","58.1"
"2020-11-02 03:00:00","31.699","37.408","57.2"
"2020-11-02 03:15:00","30.665","36.99","56.3"
"2020-11-02 03:30:00","29.092","36.539","56.3"
"2020-11-02 03:45:00","26.85","35.497","55.4"
"2020-11-02 04:00:00","25.711","34.734","53.6"
"2020-11-02 04:15:00","25.338","34.455","53.6"
"2020-11-02 04:30:00","26.518","34.161","54.5"
"2020-11-02 04:45:00","27.921","34.251","53.6"
"2020-11-02 05:00:00","29.58","34.259","53.6"
"2020-11-02 05:15:00","30.502","34.745","53.6"
"2020-11-02 05:30:00","31.193","35.126","55.4"
"2020-11-02 05:45:00","31.65","35.179","55.4"
"2020-11-02 06:00:00","31.403","35.352","55.4"
"2020-11-02 06:15:00","30.25","35.354","55.4"
"2020-11-02 06:30:00","31.381","35.571","55.4"
"2020-11-02 06:45:00","31.498","35.66","56.3"
"2020-11-02 07:00:00","34.06","36.268","56.3"
"2020-11-02 07:15:00","37.062","36.781","56.3"
"2020-11-02 07:30:00","38.027","37.458","59"
"2020-11-02 07:45:00","39.15","37.953","58.1"
"2020-11-02 08:00:00","40.49","38.479","58.1"
"2020-11-02 08:15:00","40.72","38.698","59"
"2020-11-02 08:30:00","42.503","39.157","60.8"
"2020-11-02 08:45:00","43.809","39.666","60.8"
"2020-11-02 09:00:00","50.241","39.862","60.8"
"2020-11-02 09:15:00","52.496","40.1","60.8"
"2020-11-02 09:30:00","49.816","39.886","61.7"
"2020-11-02 09:45:00","54.24","40.417","60.8"
"2020-11-02 10:00:00","57.025","41.095","61.7"
"2020-11-02 10:15:00","55.236","41.035","62.6"
"2020-11-02 10:30:00","47.829","40.36","62.6"
"2020-11-02 10:45:00","46.647","39.968","61.7"
"2020-11-02 11:00:00","48.93","40.266","62.6"
"2020-11-02 11:15:00","45.515","40.411","62.6"
"2020-11-02 11:30:00","44.755","40.532","62.6"
"2020-11-02 11:45:00","45.581","40.6","62.6"
"2020-11-02 12:00:00","47.272","40.692","63.5"
"2020-11-02 12:15:00","43.237","39.821","66.2"
"2020-11-02 12:30:00","44.429","39.999","61.7"
"2020-11-02 12:45:00","58.014","41.709","65.3"
"2020-11-02 13:00:00","63.839","42.75","67.1"
"2020-11-02 13:15:00","61.136","43.25","67.1"
"2020-11-02 13:30:00","58.36","43.217","69.8"
"2020-11-02 13:45:00","56.543","46.045","69.8"
"2020-11-02 14:00:00","58.432","49.949","71.6"
"2020-11-02 14:15:00","55.944","51.322","72.5"
"2020-11-02 14:30:00","52.437","51.325","73.4"
"2020-11-02 14:45:00","52.584","53.08","73.4"
"2020-11-02 15:00:00","49.092","52.377","73.4"
"2020-11-02 15:15:00","48.807","53.177","70.7"
"2020-11-02 15:30:00","46.231","49.702","68"
"2020-11-02 15:45:00","37.902","42.772","68.9"
"2020-11-02 16:00:00","35.843","40.315","63.5"
"2020-11-02 16:15:00","34.919","39.468","60.8"
"2020-11-02 16:30:00","32.912","38.963","59.9"
"2020-11-02 16:45:00","32.696","38.386","59"
"2020-11-02 17:00:00","32.64","38.076","58.1"
"2020-11-02 17:15:00","32.595","37.853","58.1"
"2020-11-02 17:30:00","32.486","37.704","57.2"
"2020-11-02 17:45:00","31.847","37.542","56.3"
"2020-11-02 18:00:00","31.777","37.365","57.2"
"2020-11-02 18:15:00","30.345","37.133","56.3"
"2020-11-02 18:30:00","30.297","36.974","55.4"
"2020-11-02 18:45:00","27.697","36.099","55.4"
