"Site Time","Weather station module temperature ","Weather station ambient temperature Degrees Fahrenheit","Weather station device temperature "
"2020-02-01 00:00:00","31.652","33.464","53.6"
"2020-02-01 00:15:00","30.133","33.356","53.6"
"2020-02-01 00:30:00","29.241","33.221","53.6"
"2020-02-01 00:45:00","29.771","33.074","53.6"
"2020-02-01 01:00:00","29.84","32.934","53.6"
"2020-02-01 01:15:00","29.484","32.732","53.6"
"2020-02-01 01:30:00","29.245","32.876","52.7"
"2020-02-01 01:45:00","30.121","33.081","53.6"
"2020-02-01 02:00:00","30.543","33.145","53.6"
"2020-02-01 02:15:00","30.563","33.049","52.7"
"2020-02-01 02:30:00","30.073","32.959","52.7"
"2020-02-01 02:45:00","29.902","33.023","52.7"
"2020-02-01 03:00:00","30.476","33.071","53.6"
"2020-02-01 03:15:00","30.92","33.065","53.6"
"2020-02-01 03:30:00","31.529","33.208","53.6"
"2020-02-01 03:45:00","31.773","33.201","54.5"
"2020-02-01 04:00:00","31.698","33.157","54.5"
"2020-02-01 04:15:00","31.793","33.16","53.6"
"2020-02-01 04:30:00","31.784","33.166","53.6"
"2020-02-01 04:45:00","31.704","33.192","54.5"
"2020-02-01 05:00:00","31.817","33.352","54.5"
"2020-02-01 05:15:00","31.962","33.336","55.4"
"2020-02-01 05:30:00","32.03","33.289","55.4"
"2020-02-01 05:45:00","32.024","33.219","54.5"
"2020-02-01 06:00:00","32.017","33.347","54.5"
"2020-02-01 06:15:00","32.053","33.338","54.5"
"2020-02-01 06:30:00","32.035","33.39","55.4"
"2020-02-01 06:45:00","32.016","33.382","54.5"
"2020-02-01 07:00:00","32.077","33.314","54.5"
"2020-02-01 07:15:00","32.079","33.496","54.5"
"2020-02-01 07:30:00","32.296","33.665","54.5"
"2020-02-01 07:45:00","32.556","33.929","56.3"
"2020-02-01 08:00:00","33.271","34.173","55.4"
"2020-02-01 08:15:00","34.823","34.347","55.4"
"2020-02-01 08:30:00","35.314","34.468","54.5"
"2020-02-01 08:45:00","36.041","34.637","56.3"
"2020-02-01 09:00:00","36.462","34.885","56.3"
"2020-02-01 09:15:00","38.234","35.228","55.4"
"2020-02-01 09:30:00","40.475","35.669","57.2"
"2020-02-01 09:45:00","42.099","36.213","57.2"
"2020-02-01 10:00:00","41.2","36.305","58.1"
"2020-02-01 10:15:00","40.43","36.438","58.1"
"2020-02-01 10:30:00","40.348","36.48","57.2"
"2020-02-01 10:45:00","42.012","36.924","59"
"2020-02-01 11:00:00","41.576","36.998","58.1"
"2020-02-01 11:15:00","40.468","36.781","58.1"
"2020-02-01 11:30:00","40.025","36.858","59"
"2020-02-01 11:45:00","39.561","36.84","58.1"
