"Site Time","Production meter active power Kilowatts"
"2019-12-23 00:00:00",""
"2019-12-23 00:15:00",""
"2019-12-23 00:30:00",""
"2019-12-23 00:45:00",""
"2019-12-23 01:00:00",""
"2019-12-23 01:15:00",""
"2019-12-23 01:30:00",""
"2019-12-23 01:45:00",""
"2019-12-23 02:00:00",""
"2019-12-23 02:15:00",""
"2019-12-23 02:30:00",""
"2019-12-23 02:45:00",""
"2019-12-23 03:00:00",""
"2019-12-23 03:15:00",""
"2019-12-23 03:30:00",""
"2019-12-23 03:45:00",""
"2019-12-23 04:00:00",""
"2019-12-23 04:15:00",""
"2019-12-23 04:30:00",""
"2019-12-23 04:45:00",""
"2019-12-23 05:00:00",""
"2019-12-23 05:15:00",""
"2019-12-23 05:30:00",""
"2019-12-23 05:45:00",""
"2019-12-23 06:00:00",""
"2019-12-23 06:15:00",""
"2019-12-23 06:30:00",""
"2019-12-23 06:45:00",""
"2019-12-23 07:00:00",""
"2019-12-23 07:15:00",""
"2019-12-23 07:30:00",""
"2019-12-23 07:45:00",""
"2019-12-23 08:00:00","30.082"
"2019-12-23 08:15:00","199.734"
"2019-12-23 08:30:00","277.589"
"2019-12-23 08:45:00","355.169"
"2019-12-23 09:00:00","434.148"
"2019-12-23 09:15:00","505.049"
"2019-12-23 09:30:00","562.594"
"2019-12-23 09:45:00","610.186"
"2019-12-23 10:00:00","650.866"
"2019-12-23 10:15:00","690.01"
"2019-12-23 10:30:00","710.738"
"2019-12-23 10:45:00","728.747"
"2019-12-23 11:00:00","745.775"
"2019-12-23 11:15:00","758.141"
"2019-12-23 11:30:00","762.888"
"2019-12-23 11:45:00","759.981"
"2019-12-23 12:00:00","752.166"
"2019-12-23 12:15:00","741.961"
"2019-12-23 12:30:00","721.051"
"2019-12-23 12:45:00","688.485"
"2019-12-23 13:00:00","642.996"
"2019-12-23 13:15:00","578.388"
"2019-12-23 13:30:00","484.171"
"2019-12-23 13:45:00","379.507"
"2019-12-23 14:00:00","294.927"
"2019-12-23 14:15:00","237.886"
"2019-12-23 14:30:00","192.145"
"2019-12-23 14:45:00","141.388"
"2019-12-23 15:00:00","88.092"
"2019-12-23 15:15:00","43.618"
"2019-12-23 15:30:00","28.015"
"2019-12-23 15:45:00","19.403"
"2019-12-23 16:00:00","10.626"
"2019-12-23 16:15:00","2.223"
"2019-12-23 16:30:00","-0.096"
"2019-12-23 16:45:00","-0.092"
"2019-12-23 17:00:00","-0.095"
"2019-12-23 17:15:00","-0.096"
