"Site Time","POA Watts/meter²","GHI Watts/meter²"
"2020-09-01 00:00:00","0","-0.911"
"2020-09-01 00:15:00","0","-0.828"
"2020-09-01 00:30:00","0","-0.877"
"2020-09-01 00:45:00","0","-0.948"
"2020-09-01 01:00:00","0","-0.96"
"2020-09-01 01:15:00","0","-1.213"
"2020-09-01 01:30:00","0","-1.224"
"2020-09-01 01:45:00","0","-0.808"
"2020-09-01 02:00:00","0","-0.917"
"2020-09-01 02:15:00","0","-1.23"
"2020-09-01 02:30:00","0","-1.07"
"2020-09-01 02:45:00","0","-1.072"
"2020-09-01 03:00:00","0","-0.916"
"2020-09-01 03:15:00","0","-1.051"
"2020-09-01 03:30:00","0","-1.147"
"2020-09-01 03:45:00","0","-1.107"
"2020-09-01 04:00:00","0","-1.115"
"2020-09-01 04:15:00","0","-0.837"
"2020-09-01 04:30:00","0","-0.629"
"2020-09-01 04:45:00","0","-0.902"
"2020-09-01 05:00:00","0","-1.039"
"2020-09-01 05:15:00","0","-1.208"
"2020-09-01 05:30:00","0","-0.981"
"2020-09-01 05:45:00","0","-1.006"
"2020-09-01 06:00:00","0.024","0.787"
"2020-09-01 06:15:00","5.499","6.695"
"2020-09-01 06:30:00","19.564","22.224"
"2020-09-01 06:45:00","10.86","48.084"
"2020-09-01 07:00:00","78.299","66.224"
"2020-09-01 07:15:00","88.752","95.415"
"2020-09-01 07:30:00","154.834","156.742"
"2020-09-01 07:45:00","221.602","179.394"
"2020-09-01 08:00:00","184.492","159.938"
"2020-09-01 08:15:00","303.272","267.33"
"2020-09-01 08:30:00","427.089","385.82"
"2020-09-01 08:45:00","331.518","314.58"
"2020-09-01 09:00:00","406.021","384.126"
"2020-09-01 09:15:00","534.127","495.242"
"2020-09-01 09:30:00","589.389","546.568"
"2020-09-01 09:45:00","546.057","514.278"
"2020-09-01 10:00:00","535.024","498.07"
"2020-09-01 10:15:00","774.399","684.991"
"2020-09-01 10:30:00","564.314","522.304"
"2020-09-01 10:45:00","438.212","437.568"
"2020-09-01 11:00:00","411.789","418.954"
"2020-09-01 11:15:00","602.189","576.543"
"2020-09-01 11:30:00","584.004","551.422"
"2020-09-01 11:45:00","537.648","492.765"
"2020-09-01 12:00:00","386.386","384.859"
"2020-09-01 12:15:00","676.672","630.328"
"2020-09-01 12:30:00","647.689","604.59"
"2020-09-01 12:45:00","521.234","497.169"
"2020-09-01 13:00:00","670.353","617.582"
"2020-09-01 13:15:00","750.226","700.937"
"2020-09-01 13:30:00","495.247","484.087"
"2020-09-01 13:45:00","708.807","662.102"
"2020-09-01 14:00:00","555.807","543.187"
"2020-09-01 14:15:00","967.799","894.804"
"2020-09-01 14:30:00","926.644","843.453"
"2020-09-01 14:45:00","919.048","839.151"
"2020-09-01 15:00:00","861.979","800.062"
"2020-09-01 15:15:00","819.733","744.852"
"2020-09-01 15:30:00","578.129","528.223"
"2020-09-01 15:45:00","156.317","158.335"
"2020-09-01 16:00:00","431.687","400.463"
"2020-09-01 16:15:00","584.577","531.743"
"2020-09-01 16:30:00","394.684","367.613"
"2020-09-01 16:45:00","477.151","444.704"
"2020-09-01 17:00:00","365.349","343.535"
"2020-09-01 17:15:00","352.526","325.263"
"2020-09-01 17:30:00","300.518","277.235"
"2020-09-01 17:45:00","244.021","230.09"
"2020-09-01 18:00:00","179.569","177.409"
"2020-09-01 18:15:00","67.984","84.44"
"2020-09-01 18:30:00","25.043","28.112"
"2020-09-01 18:45:00","17.663","20.072"
"2020-09-01 19:00:00","10.095","13.703"
"2020-09-01 19:15:00","1.967","2.77"
"2020-09-01 19:30:00","0","-0.779"
"2020-09-01 19:45:00","0","-1.365"
"2020-09-01 20:00:00","0","-1.443"
"2020-09-01 20:15:00","0","-1.352"
"2020-09-01 20:30:00","0","-1.362"
"2020-09-01 20:45:00","0","-1.36"
"2020-09-01 21:00:00","0","-1.253"
"2020-09-01 21:15:00","0","-1.307"
"2020-09-01 21:30:00","0","-1.259"
"2020-09-01 21:45:00","0","-1.232"
"2020-09-01 22:00:00","0","-1.094"
"2020-09-01 22:15:00","0","-1.176"
"2020-09-01 22:30:00","0","-1.205"
"2020-09-01 22:45:00","0","-1.028"
"2020-09-01 23:00:00","0","-0.85"
"2020-09-01 23:15:00","0","-0.853"
"2020-09-01 23:30:00","0","-0.965"
"2020-09-01 23:45:00","0","-1.019"
"2020-09-02 00:00:00","0","-0.894"
"2020-09-02 00:15:00","0","-0.931"
"2020-09-02 00:30:00","0","-1.027"
"2020-09-02 00:45:00","0","-1.001"
"2020-09-02 01:00:00","0","-0.805"
"2020-09-02 01:15:00","0","-0.474"
"2020-09-02 01:30:00","0","-0.227"
"2020-09-02 01:45:00","0","-0.222"
"2020-09-02 02:00:00","0","-0.067"
"2020-09-02 02:15:00","0","-0.122"
"2020-09-02 02:30:00","0","-0.216"
"2020-09-02 02:45:00","0","-0.298"
"2020-09-02 03:00:00","0","-0.314"
"2020-09-02 03:15:00","0","-0.314"
"2020-09-02 03:30:00","0","-0.291"
"2020-09-02 03:45:00","0","-0.28"
"2020-09-02 04:00:00","0","-0.322"
"2020-09-02 04:15:00","0","-0.315"
"2020-09-02 04:30:00","0","-0.277"
"2020-09-02 04:45:00","0","-0.272"
"2020-09-02 05:00:00","0","-0.276"
"2020-09-02 05:15:00","0","-0.279"
"2020-09-02 05:30:00","0","-0.294"
"2020-09-02 05:45:00","0","-0.293"
"2020-09-02 06:00:00","0","-0.193"
"2020-09-02 06:15:00","0.2","0.447"
"2020-09-02 06:30:00","1.324","1.862"
"2020-09-02 06:45:00","4.278","5.148"
"2020-09-02 07:00:00","8.939","10.292"
"2020-09-02 07:15:00","9.01","10.236"
"2020-09-02 07:30:00","12.863","14.407"
"2020-09-02 07:45:00","13.243","14.857"
"2020-09-02 08:00:00","23.148","25.665"
"2020-09-02 08:15:00","30.684","34.034"
"2020-09-02 08:30:00","37.099","40.947"
"2020-09-02 08:45:00","36.586","40.243"
"2020-09-02 09:00:00","50.2","55.266"
"2020-09-02 09:15:00","44.821","48.909"
"2020-09-02 09:30:00","44.068","47.824"
"2020-09-02 09:45:00","53.83","58.875"
"2020-09-02 10:00:00","60.1","66.574"
"2020-09-02 10:15:00","85.389","94.841"
"2020-09-02 10:30:00","103.189","114.011"
"2020-09-02 10:45:00","105.85","117.908"
"2020-09-02 11:00:00","97.136","107.117"
"2020-09-02 11:15:00","96.635","108.129"
"2020-09-02 11:30:00","67.173","74.949"
"2020-09-02 11:45:00","70.614","78.368"
"2020-09-02 12:00:00","53.939","58.881"
"2020-09-02 12:15:00","70.73","77.866"
"2020-09-02 12:30:00","43.96","49.039"
"2020-09-02 12:45:00","52.536","58.068"
"2020-09-02 13:00:00","81.542","90.93"
"2020-09-02 13:15:00","89.166","99.05"
"2020-09-02 13:30:00","89.716","100.592"
"2020-09-02 13:45:00","78.097","87.082"
"2020-09-02 14:00:00","82.252","91.983"
"2020-09-02 14:15:00","131.589","150.009"
"2020-09-02 14:30:00","141.903","161.763"
"2020-09-02 14:45:00","82.949","92.756"
"2020-09-02 15:00:00","106.079","118.278"
"2020-09-02 15:15:00","133.321","152.509"
"2020-09-02 15:30:00","111.75","124.931"
"2020-09-02 15:45:00","123.058","139.557"
"2020-09-02 16:00:00","84.956","95.051"
"2020-09-02 16:15:00","64.894","71.906"
"2020-09-02 16:30:00","80.522","90.144"
"2020-09-02 16:45:00","73.088","80.933"
"2020-09-02 17:00:00","84.079","95.307"
"2020-09-02 17:15:00","52.839","60.076"
"2020-09-02 17:30:00","49.735","55.158"
"2020-09-02 17:45:00","32.719","36.727"
"2020-09-02 18:00:00","29.531","33.845"
"2020-09-02 18:15:00","30.674","33.964"
"2020-09-02 18:30:00","23.08","25.844"
"2020-09-02 18:45:00","14.679","16.646"
"2020-09-02 19:00:00","6.33","8.018"
"2020-09-02 19:15:00","1.453","1.801"
"2020-09-02 19:30:00","0","0.027"
"2020-09-02 19:45:00","0","-0.174"
"2020-09-02 20:00:00","0","-0.203"
"2020-09-02 20:15:00","0","-0.187"
"2020-09-02 20:30:00","0","-0.183"
"2020-09-02 20:45:00","0","-0.166"
"2020-09-02 21:00:00","0","-0.173"
"2020-09-02 21:15:00","0","-0.239"
"2020-09-02 21:30:00","0","-0.294"
"2020-09-02 21:45:00","0","-0.239"
"2020-09-02 22:00:00","0","-0.277"
"2020-09-02 22:15:00","0","-0.227"
"2020-09-02 22:30:00","0","-0.246"
"2020-09-02 22:45:00","0","-0.281"
"2020-09-02 23:00:00","0","-0.336"
"2020-09-02 23:15:00","0","-0.328"
"2020-09-02 23:30:00","0","-0.351"
"2020-09-02 23:45:00","0","-0.37"
"2020-09-03 00:00:00","0","-0.354"
"2020-09-03 00:15:00","0","-0.338"
"2020-09-03 00:30:00","0","-0.33"
"2020-09-03 00:45:00","0","-0.275"
"2020-09-03 01:00:00","0","-0.247"
"2020-09-03 01:15:00","0","-0.251"
"2020-09-03 01:30:00","0","-0.23"
"2020-09-03 01:45:00","0","-0.23"
"2020-09-03 02:00:00","0","-0.2"
"2020-09-03 02:15:00","0","-0.181"
"2020-09-03 02:30:00","0","-0.1"
"2020-09-03 02:45:00","0","-0.126"
"2020-09-03 03:00:00","0","-0.128"
"2020-09-03 03:15:00","0","-0.103"
"2020-09-03 03:30:00","0","-0.059"
"2020-09-03 03:45:00","0","-0.055"
"2020-09-03 04:00:00","0","-0.077"
"2020-09-03 04:15:00","0","-0.37"
"2020-09-03 04:30:00","0","-0.319"
"2020-09-03 04:45:00","0","-0.48"
"2020-09-03 05:00:00","0","-0.647"
"2020-09-03 05:15:00","0","-0.645"
"2020-09-03 05:30:00","0","-0.467"
"2020-09-03 05:45:00","0","-0.445"
"2020-09-03 06:00:00","0","0.01"
"2020-09-03 06:15:00","2.118","2.551"
"2020-09-03 06:30:00","10.908","12.45"
"2020-09-03 06:45:00","8.776","32.418"
"2020-09-03 07:00:00","71.396","74.873"
"2020-09-03 07:15:00","41.186","45.589"
"2020-09-03 07:30:00","98.465","96.346"
"2020-09-03 07:45:00","67.575","71.986"
"2020-09-03 08:00:00","32.466","36.32"
"2020-09-03 08:15:00","45.063","49.142"
"2020-09-03 08:30:00","74.413","82.501"
"2020-09-03 08:45:00","93.588","105.499"
"2020-09-03 09:00:00","166.575","178.253"
"2020-09-03 09:15:00","213.086","222.437"
"2020-09-03 09:30:00","244.718","250.18"
"2020-09-03 09:45:00","361.826","347.687"
"2020-09-03 10:00:00","627.165","553.52"
"2020-09-03 10:15:00","715.381","611.973"
"2020-09-03 10:30:00","804.422","688.63"
"2020-09-03 10:45:00","731.321","634.729"
"2020-09-03 11:00:00","852.911","735.06"
"2020-09-03 11:15:00","900.21","767.038"
"2020-09-03 11:30:00","899.26","780.15"
"2020-09-03 11:45:00","921.648","819.349"
"2020-09-03 12:00:00","852.489","774.224"
"2020-09-03 12:15:00","799.783","750.39"
"2020-09-03 12:30:00","879.54","833.055"
"2020-09-03 12:45:00","701.94","669.412"
"2020-09-03 13:00:00","723.08","700.652"
"2020-09-03 13:15:00","408.12","428.598"
"2020-09-03 13:30:00","526.037","547.001"
"2020-09-03 13:45:00","849.784","807.188"
"2020-09-03 14:00:00","730.927","669.656"
"2020-09-03 14:15:00","549.417","519.606"
"2020-09-03 14:30:00","838.169","734.61"
"2020-09-03 14:45:00","602.68","556.289"
"2020-09-03 15:00:00","881.922","788.784"
"2020-09-03 15:15:00","475.531","453.481"
"2020-09-03 15:30:00","335.188","345.455"
"2020-09-03 15:45:00","700.639","632.16"
"2020-09-03 16:00:00","511.712","464.546"
"2020-09-03 16:15:00","423.592","383.742"
"2020-09-03 16:30:00","162.105","179.856"
"2020-09-03 16:45:00","175.322","198.248"
"2020-09-03 17:00:00","175.042","194.219"
"2020-09-03 17:15:00","91.89","105.036"
"2020-09-03 17:30:00","68.37","75.184"
"2020-09-03 17:45:00","42.477","48.145"
"2020-09-03 18:00:00","28.964","33.005"
"2020-09-03 18:15:00","42.948","53.05"
"2020-09-03 18:30:00","88","110.374"
"2020-09-03 18:45:00","31.599","39.308"
"2020-09-03 19:00:00","5.255","12.109"
